Comment,Description,Designator,Footprint,LibRef,Manufacturer 1,Manufacturer Part Number 1,Quantity,Manufacturer 2,Manufacturer Part Number 2

"U_LT3460EDC-1","IC REG BOOST ADJ 0.18A 6DFN","U4","DFN6","U_LTC3460-1","Linear Technology","LT3460EDC-1#TRMPBF","1","",""
"TVS_ESDAVLC6-1BV2","Single Line Bi Trans 8pF","TVS1, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9","ST_MICRO_TVS","TVS_ESDAVLC6-1BV2","STMicroelectronics","ESDAVLC6-1BV2","9","",""
"TPS82675SIPT","IC REG BUCK SYNC 1.2V 0.6A 8USIP","U11","MICRP SIP","U_TPS82675SIPT","Texas Instruments","TPS82675SIPT","1","",""
"SI8808DB-T2-E1","MOSFET N-CH D-S 30V MICROFOOT","Q2, Q3, Q7, Q8, Q9, Q10, Q11, Q12, Q18, Q19, Q20, Q21, Q22, Q23","BGA4C40P2X2_80X80X40","Q_NFET_BGA_30V","Vishay Siliconix","SI8808DB-T2-E1","14","",""
"SI8497DB-T2-E1","MOSFET P-CH D-S 30V MICROFOOT","Q1, Q4, Q5, Q6, Q15, Q16, Q17","BGA6C50P3X2_145X96X59","Q_PFET_BGA_30V","Vishay Siliconix","SI8497DB-T2-E1","7","",""
"SBR0240LP-7","DIODE SUP BARRIER 40V 0.25A 2DFN","D1, D2, D3, D4","2-XFDFN","D_SBR0240LP-7","Diodes Incorporated","SBR0240LP-7","4","",""
"Power Switch","IC LOAD MGMT SWITCH ADV 4WLCSP","U13","DSBGA4","U_FPF1504BUCX","Fairchild Semiconductor","FPF1504BUCX","1","",""
"M25P16-VMC6TG","IC FLASH 16MBIT 75MHZ 8UFDFPN","U5","UFDFN8","U_M25P16-VMC6TG","Micron Technology Inc","M25P16-VMC6TG","1","",""
"LFE3-17EA","IC FPGA 17KLUTS 116I/O 328-BGA","U3","BGA328C50P19X19_1000X1000X150","U_LFE3-17EA-MG328","Lattice Semiconductor Corporation","LFE3-17EA-6MG328C","1","Lattice Semiconductor Corporation","LFE3-17EA-8LMG328I"
"C_0201_22pF","CAP CER 22PF 50V 5% NP0 0201","C8","CAPC0201","C_0201_22pF","TDK Corporation","C0603C0G1H220J030BA","1","",""
"CBC2016T220K","INDUCTOR 22UH 10% 0806 SMD","L1","L_0806","L_0806_22uH","Taiyo Yuden","CBC2016T220K","1","",""
"Buffer","IC BUFFER GATE SGL 4-DSBGA","U6, U8","DSBGA4_.4MM","U_SN74AUP1G34YFPR","Texas Instruments","SN74AUP1G34YFPR","2","",""
"270","RES 270 OHM 1/5W 5% 0402 SMD","R11, R35, R38, R40, R56, R57, R58","R_0402","R_0402_270_5%_PW","Rohm Semiconductor","ESR01MZPJ271","7","",""
"100","RES 100 OHM 1/5W 5% 0402 SMD","R9, R17, R18, R19, R53, R54, R55","R_0402","R_0402_100_5%_PW","Rohm Semiconductor","ESR01MZPJ101","7","",""
"33","RES 33 OHM 1/32W 1% 01005","R52","R_01005","R_01005_33","Samsung Electro-Mechanics America, Inc","RC0402F330CS","1","",""
"22µF","CAP CER 22UF 35V 20% JB 0805","C9, C10, C11, C39, C40","C_ERA-0805","C_0805_22µF_35V","TDK Corporation","C2012JB1V226M125AC","5","",""
"22uF","CAP CER 22UF 6.3V 20% X5R 0603","C52, C95","C_ERA-0603","C_0603_22uF","TDK Corporation","C1608X5R0J226M080AC","2","",""
"22uF","CAP CER 22UF 6.3V X7R 10% 0805","C32, C38, C78","C_ERA-0805","C_0805_22UF_6.3V","AVX Corporation","08056D226MAT2A","3","Taiyo Yuden","JMK212BJ226MG-T"
"19.2MHz Oscillator","OSC 19.200 MHZ 3.3V SMD","U9","LCCS165P160X200X70-4N","U_ASA-19.200MHZ-L-T","Abracon Corporation","ASA-19.200MHZ-L-T","1","",""
"10uF","CAP CER 10UF 4V 20% X5R 0402","C50, C59, C60, C61, C72, C82","C_0402","C_0402_10uF","Taiyo Yuden","AMK105CBJ106MV-F","6","",""
"10K, 100K","RES 100K OHM 1/32W 1% 01005 SMD","R13, R47","R_01005","R_01005_100K","Yageo","RC0100FR-07100KL","2","",""
"10K","RES 10K OHM 1/32W 1% 01005","R10, R15, R22, R23, R24, R25, R26, R30, R33, R34, R36, R39, R64, R65, R66, R69","R_01005","R_01005_10K","Samsung Electro-Mechanics America, Inc","RC0402F103CS","16","",""
