Comment,Description,Designator,Footprint,LibRef,Manufacturer 1,Manufacturer Part Number 1,Quantity,Manufacturer 2,Manufacturer Part Number 2

"U_TPS82671SIPT","IC REG BUCK SYNC 1.8V 0.6A 8USIP","U10","MICRP SIP","U_TPS82671SIPT","Texas Instruments","TPS82671SIPT","1","",""
"U_LTC4415EDHC#PBF","IC OR CTRLR SRC SELECT 16DFN","U19","LT-DHC-16_A_V","U_LTC4415EDHC#PBF","Linear Technology","LTC4415EDHC#PBF","1","",""
"U_BQ24032ARHLR","Dual Input Li-Ion Charger with Dynamic Power Path, Output regulated to 4.4 V, Vbat 4.2 V, 4.3 V, -40 to 85 degC, 20-pin QFN (RHL), Green (RoHS & no Sb/Br)","U18","RHL20-3050X2050TP","U_BQ24032ARHLR","Texas Instruments","BQ24032ARHLR","1","",""
"TPS82675SIPT","IC REG BUCK SYNC 1.2V 0.6A 8USIP","U11","MICRP SIP","U_TPS82675SIPT","Texas Instruments","TPS82675SIPT","1","",""
"TCM810RVLB713","IC RESET MONITOR 2.63V SC70-3","U20","SC70-LB3_N","U_TCM810RVLB713","Microchip Technology","TCM810RVLB713","1","",""
"SI8497DB-T2-E1","MOSFET P-CH D-S 30V MICROFOOT","Q1","BGA6C50P3X2_145X96X59","Q_PFET_BGA_30V","Vishay Siliconix","SI8497DB-T2-E1","1","",""
"SBR0240LP-7","DIODE SUP BARRIER 40V 0.25A 2DFN","D1, D2, D3","2-XFDFN","D_SBR0240LP-7","Diodes Incorporated","SBR0240LP-7","3","",""
"Power Switch","IC LOAD SWITCH 3A 4DSBGA","U8, U14, U15","DSBGA4","U_TPS22930AYZVR","Texas Instruments","TPS22930AYZVR","3","",""
"M25P16-VMC6TG","IC FLASH 16MBIT 75MHZ 8UFDFPN","U5","UFDFN8","U_M25P16-VMC6TG","Micron Technology Inc","M25P16-VMC6TG","1","",""
"LFE3-17EA","IC FPGA 17KLUTS 116I/O 328-BGA","U3","BGA328C50P19X19_1000X1000X150","U_LFE3-17EA-MG328","Lattice Semiconductor Corporation","LFE3-17EA-6MG328C","1","Lattice Semiconductor Corporation","LFE3-17EA-8LMG328I"
"Audio Codec","IC STEREO AUDIO CODEC 28VQFN","U2","S-PQFP-N28","U_TLV320AIC23B","Texas Instruments","TLV320AIC23BRHDR","1","",""
"5020785110","CONN FPC HSNG 51POS SMD","J2","5020785110","J_5020785110","Molex Inc","5020785110","1","",""
"510","RES 510 OHM 1/20W 1% 0201 SMD","R66","R_0201","R_0201_510","Rohm Semiconductor","MCR006YRTF5100","1","",""
"330","RES 330 OHM 1/32W 5% 01005 SMD","R13, R15, R16, R17, R18, R19, R31, R35, R36, R37","R_01005","R_01005_330","Panasonic Electronic Components","ERJ-XGNJ331Y","10","",""
"100pF","CAP CER 100PF 16V 5% NP0 01005","C48","C_01005","C_01005_100pF","TDK Corporation","C0402C0G1C101J020BC","1","",""
"100k","RES 100K OHM 1/32W 1% 01005 SMD","R40, R47, R48, R49, R50, R51, R59, R60, R61, R62, R63, R64, R65, R69","R_01005","R_01005_100k","Yageo","RC0100FR-07100KL","14","",""
"51 Pin","CONN FPC 0.3MM 51POS UPPER SMD","J1","OMRON_51","J_XF3A-515541A","Omron Electronics Inc-EMC Div","XF3A-515541A","1","",""
